path,label,source_wav,window_index,shape,start_sec,duration_sec
background/background_20260701_183332_842751_0000_00.npy,background,background/background_20260701_183332_842751_0000.wav,0,64x26,0.0,0.25
background/background_20260701_183332_842751_0000_01.npy,background,background/background_20260701_183332_842751_0000.wav,1,64x26,0.25,0.25
background/background_20260701_183332_842751_0000_02.npy,background,background/background_20260701_183332_842751_0000.wav,2,64x26,0.5,0.25
background/background_20260701_183332_842751_0000_03.npy,background,background/background_20260701_183332_842751_0000.wav,3,64x26,0.75,0.25
background/background_20260701_183332_842751_0000_04.npy,background,background/background_20260701_183332_842751_0000.wav,4,64x26,1.0,0.25
background/background_20260701_183332_842751_0000_05.npy,background,background/background_20260701_183332_842751_0000.wav,5,64x26,1.25,0.25
background/background_20260701_183332_842751_0000_06.npy,background,background/background_20260701_183332_842751_0000.wav,6,64x26,1.5,0.25
background/background_20260701_183332_842751_0000_07.npy,background,background/background_20260701_183332_842751_0000.wav,7,64x26,1.75,0.25
background/background_20260701_183332_842751_0000_08.npy,background,background/background_20260701_183332_842751_0000.wav,8,64x26,2.0,0.25
background/background_20260701_183332_842751_0000_09.npy,background,background/background_20260701_183332_842751_0000.wav,9,64x26,2.25,0.25
background/background_20260701_183332_842751_0000_10.npy,background,background/background_20260701_183332_842751_0000.wav,10,64x26,2.5,0.25
background/background_20260701_183332_842751_0000_11.npy,background,background/background_20260701_183332_842751_0000.wav,11,64x26,2.75,0.25
background/background_20260701_183332_842751_0000_12.npy,background,background/background_20260701_183332_842751_0000.wav,12,64x26,3.0,0.25
background/background_20260701_183332_842751_0000_13.npy,background,background/background_20260701_183332_842751_0000.wav,13,64x26,3.25,0.25
background/background_20260701_183332_842751_0000_14.npy,background,background/background_20260701_183332_842751_0000.wav,14,64x26,3.5,0.25
background/background_20260701_183332_842751_0000_15.npy,background,background/background_20260701_183332_842751_0000.wav,15,64x26,3.75,0.25
background/background_20260701_183332_842751_0000_16.npy,background,background/background_20260701_183332_842751_0000.wav,16,64x26,4.0,0.25
background/background_20260701_183332_842751_0000_17.npy,background,background/background_20260701_183332_842751_0000.wav,17,64x26,4.25,0.25
background/background_20260701_183332_842751_0000_18.npy,background,background/background_20260701_183332_842751_0000.wav,18,64x26,4.5,0.25
